match_id,date,home_team,away_team,home_goals,away_goals
139,2025-12-13,Antalyaspor,Galatasaray,1,4
140,2025-12-14,Gaziantep,Goztep,0,1
141,2025-12-14,Karagumruk,Kocaelispor,1,1
142,2025-12-14,Samsunspor,Buyuksehyr,0,2
143,2025-12-14,Trabzonspor,Besiktas,3,3
144,2025-12-15,Fenerbahce,Konyaspor,4,0
145,2025-12-19,Kocaelispor,Antalyaspor,2,1
146,2025-12-20,Konyaspor,Kayserispor,1,1
147,2025-12-20,Eyupspor,Fenerbahce,0,3
148,2025-12-20,Besiktas,Rizespor,1,0
149,2025-12-21,Alanyaspor,Karagumruk,2,0
150,2025-12-21,Galatasaray,Kasimpasa,3,0
151,2025-12-21,Goztep,Samsunspor,2,0
152,2025-12-22,Buyuksehyr,Gaziantep,5,1
153,2025-12-22,Genclerbirligi,Trabzonspor,4,3
154,2026-01-17,Buyuksehyr,Karagumruk,2,1
155,2026-01-17,Galatasaray,Gaziantep,1,1
156,2026-01-18,Kasimpasa,Antalyaspor,0,0
157,2026-01-18,Genclerbirligi,Samsunspor,1,1
158,2026-01-18,Kocaelispor,Trabzonspor,1,2
159,2026-01-18,Alanyaspor,Fenerbahce,2,3
160,2026-01-19,Konyaspor,Eyupspor,1,1
161,2026-01-19,Besiktas,Kayserispor,1,0
162,2026-01-19,Goztep,Rizespor,3,1
163,2026-01-23,Trabzonspor,Kasimpasa,2,1
164,2026-01-24,Kayserispor,Buyuksehyr,0,3
165,2026-01-24,Samsunspor,Kocaelispor,0,0
166,2026-01-24,Karagumruk,Galatasaray,1,3
167,2026-01-25,Gaziantep,Konyaspor,1,1
168,2026-01-25,Antalyaspor,Genclerbirligi,2,1
169,2026-01-25,Rizespor,Alanyaspor,1,1
170,2026-01-25,Fenerbahce,Goztep,1,1
171,2026-01-26,Eyupspor,Besiktas,2,2
172,2026-01-30,Antalyaspor,Trabzonspor,1,1
173,2026-01-30,Kasimpasa,Samsunspor,0,1
174,2026-01-31,Alanyaspor,Eyupspor,1,3
175,2026-01-31,Buyuksehyr,Rizespor,2,2
176,2026-01-31,Besiktas,Konyaspor,2,1
177,2026-01-31,Goztep,Karagumruk,2,1
178,2026-02-01,Genclerbirligi,Gaziantep,2,1
179,2026-02-01,Galatasaray,Kayserispor,4,0
180,2026-02-02,Kocaelispor,Fenerbahce,0,2
181,2026-02-07,Karagumruk,Antalyaspor,1,0
182,2026-02-07,Samsunspor,Trabzonspor,0,3
183,2026-02-08,Eyupspor,Buyuksehyr,1,2
184,2026-02-08,Konyaspor,Goztep,0,0
185,2026-02-08,Rizespor,Galatasaray,0,3
186,2026-02-08,Besiktas,Alanyaspor,2,2
187,2026-02-09,Kayserispor,Kocaelispor,1,2
188,2026-02-09,Fenerbahce,Genclerbirligi,3,1
189,2026-02-09,Gaziantep,Kasimpasa,2,1
190,2026-02-13,Antalyaspor,Samsunspor,3,1
191,2026-02-13,Galatasaray,Eyupspor,5,1
192,2026-02-14,Genclerbirligi,Rizespor,2,2
193,2026-02-14,Alanyaspor,Konyaspor,2,1
194,2026-02-14,Trabzonspor,Fenerbahce,2,3
195,2026-02-15,Kocaelispor,Gaziantep,3,0
196,2026-02-15,Goztep,Kayserispor,0,0
197,2026-02-15,Buyuksehyr,Besiktas,2,3
198,2026-02-16,Kasimpasa,Karagumruk,3,2
199,2026-02-20,Rizespor,Kocaelispor,2,0
200,2026-02-21,Eyupspor,Genclerbirligi,1,0
201,2026-02-21,Alanyaspor,Buyuksehyr,1,2
202,2026-02-21,Konyaspor,Galatasaray,2,0
203,2026-02-22,Kayserispor,Antalyaspor,1,0
204,2026-02-22,Gaziantep,Trabzonspor,1,2
205,2026-02-22,Besiktas,Goztep,4,0
206,2026-02-22,Karagumruk,Samsunspor,0,0
207,2026-02-23,Fenerbahce,Kasimpasa,1,1
208,2026-02-27,Buyuksehyr,Konyaspor,2,0
209,2026-02-27,Trabzonspor,Karagumruk,3,1
210,2026-02-28,Kasimpasa,Rizespor,0,3
211,2026-02-28,Kocaelispor,Besiktas,0,1
212,2026-02-28,Galatasaray,Alanyaspor,3,1
213,2026-02-28,Goztep,Eyupspor,0,0
214,2026-03-01,Genclerbirligi,Kayserispor,0,0
215,2026-03-01,Antalyaspor,Fenerbahce,2,2
216,2026-03-01,Samsunspor,Gaziantep,0,0
217,2026-03-07,Buyuksehyr,Goztep,2,1
218,2026-03-07,Besiktas,Galatasaray,0,1
219,2026-03-08,Gaziantep,Karagumruk,1,1
220,2026-03-08,Rizespor,Antalyaspor,1,0
221,2026-03-08,Konyaspor,Kasimpasa,1,1
222,2026-03-08,Fenerbahce,Samsunspor,3,2
223,2026-03-09,Eyupspor,Kocaelispor,0,1
224,2026-03-09,Alanyaspor,Genclerbirligi,0,0
225,2026-03-09,Kayserispor,Trabzonspor,1,3
226,2026-03-13,Antalyaspor,Gaziantep,1,4
227,2026-03-13,Karagumruk,Fenerbahce,2,0
228,2026-03-14,Kocaelispor,Konyaspor,1,2
229,2026-03-14,Galatasaray,Buyuksehyr,3,0
230,2026-03-14,Goztep,Alanyaspor,2,2
231,2026-03-14,Trabzonspor,Rizespor,1,0
232,2026-03-15,Kasimpasa,Eyupspor,1,0
233,2026-03-15,Genclerbirligi,Besiktas,0,2
234,2026-03-15,Samsunspor,Kayserispor,2,1
235,2026-03-17,Fenerbahce,Gaziantep,4,1
236,2026-03-18,Alanyaspor,Kocaelispor,5,0
237,2026-03-18,Buyuksehyr,Antalyaspor,0,0
238,2026-03-18,Eyupspor,Trabzonspor,0,1
239,2026-03-19,Kayserispor,Karagumruk,1,0
240,2026-03-19,Besiktas,Kasimpasa,2,1
241,2026-03-19,Konyaspor,Genclerbirligi,1,0
242,2026-04-04,Genclerbirligi,Goztep,0,2
243,2026-04-04,Kasimpasa,Kayserispor,2,0
244,2026-04-04,Gaziantep,Alanyaspor,1,1
245,2026-04-04,Trabzonspor,Galatasaray,2,1
246,2026-04-05,Karagumruk,Rizespor,2,1
247,2026-04-05,Samsunspor,Konyaspor,2,2
248,2026-04-05,Antalyaspor,Eyupspor,3,0
249,2026-04-05,Fenerbahce,Besiktas,1,0
250,2026-04-06,Kocaelispor,Buyuksehyr,0,0
251,2026-04-08,Goztep,Galatasaray,1,3
252,2026-04-09,Rizespor,Samsunspor,4,1
253,2026-04-10,Besiktas,Antalyaspor,4,2
254,2026-04-11,Buyuksehyr,Genclerbirligi,3,0
255,2026-04-11,Alanyaspor,Trabzonspor,1,1
256,2026-04-11,Kayserispor,Fenerbahce,0,4
257,2026-04-12,Konyaspor,Karagumruk,3,0
258,2026-04-12,Goztep,Kasimpasa,3,3
259,2026-04-12,Galatasaray,Kocaelispor,1,1
260,2026-04-13,Eyupspor,Samsunspor,1,2
261,2026-04-13,Rizespor,Gaziantep,2,1
262,2026-04-17,Antalyaspor,Konyaspor,0,2
263,2026-04-17,Fenerbahce,Rizespor,2,2
264,2026-04-18,Karagumruk,Eyupspor,1,2
265,2026-04-18,Kocaelispor,Goztep,1,1
266,2026-04-18,Genclerbirligi,Galatasaray,1,2
267,2026-04-19,Kasimpasa,Alanyaspor,1,0
268,2026-04-19,Samsunspor,Besiktas,2,1
269,2026-04-19,Trabzonspor,Buyuksehyr,1,1
270,2026-04-20,Gaziantep,Kayserispor,3,0
271,2026-04-24,Buyuksehyr,Kasimpasa,4,0
272,2026-04-25,Eyupspor,Gaziantep,3,0
273,2026-04-25,Kayserispor,Rizespor,2,0
274,2026-04-25,Goztep,Antalyaspor,2,0
275,2026-04-26,Genclerbirligi,Kocaelispor,1,0
276,2026-04-26,Galatasaray,Fenerbahce,3,0
277,2026-04-27,Alanyaspor,Samsunspor,2,3
278,2026-04-27,Besiktas,Karagumruk,0,0
279,2026-04-27,Konyaspor,Trabzonspor,2,1
280,2026-05-01,Rizespor,Konyaspor,3,2
281,2026-05-01,Gaziantep,Besiktas,0,2
282,2026-05-02,Fenerbahce,Buyuksehyr,3,1
283,2026-05-02,Samsunspor,Galatasaray,4,1
284,2026-05-02,Trabzonspor,Goztep,1,1
285,2026-05-03,Antalyaspor,Alanyaspor,0,0
286,2026-05-03,Karagumruk,Genclerbirligi,1,0
287,2026-05-03,Kasimpasa,Kocaelispor,1,1
288,2026-05-03,Kayserispor,Eyupspor,1,1
289,2026-05-09,Alanyaspor,Kayserispor,3,1
290,2026-05-09,Besiktas,Trabzonspor,1,2
291,2026-05-09,Buyuksehyr,Samsunspor,3,0
292,2026-05-09,Eyupspor,Rizespor,4,0
293,2026-05-09,Galatasaray,Antalyaspor,4,2
294,2026-05-09,Genclerbirligi,Kasimpasa,3,2
295,2026-05-09,Goztep,Gaziantep,2,1
296,2026-05-09,Kocaelispor,Karagumruk,0,1
297,2026-05-09,Konyaspor,Fenerbahce,0,3
298,2026-05-15,Rizespor,Besiktas,2,2
299,2026-05-16,Karagumruk,Alanyaspor,2,1
300,2026-05-16,Gaziantep,Buyuksehyr,1,2
301,2026-05-16,Samsunspor,Goztep,3,0
302,2026-05-17,Kayserispor,Konyaspor,2,1
303,2026-05-17,Antalyaspor,Kocaelispor,1,0
304,2026-05-17,Fenerbahce,Eyupspor,3,3
305,2026-05-17,Kasimpasa,Galatasaray,1,0
306,2026-05-17,Trabzonspor,Genclerbirligi,0,3
